epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.767,1.38489,1.24029,1.28283,0.45016,0.50011,0.42891,0.26243,1.42897,1.45717,1.46008,0.000415737,0.000415737,0.000415737
2,470.437,1.39012,1.08822,1.29725,0.57278,0.59763,0.58395,0.36155,1.37535,1.10454,1.41948,0.000815922,0.000815922,0.000815922
3,727.333,1.37934,1.02293,1.28856,0.57219,0.61589,0.61848,0.3828,1.35643,1.01043,1.39572,0.00119961,0.00119961,0.00119961
4,986.295,1.35498,0.97673,1.27413,0.59758,0.6284,0.64083,0.40583,1.33104,1.08728,1.3873,0.00117575,0.00117575,0.00117575
5,1244.19,1.3257,0.93902,1.26049,0.66334,0.66875,0.69578,0.45079,1.30292,0.91609,1.36196,0.001151,0.001151,0.001151
6,1477.89,1.31494,0.89556,1.25717,0.69466,0.68678,0.73221,0.48178,1.29074,0.82683,1.33781,0.00112625,0.00112625,0.00112625
7,1655.04,1.29953,0.87325,1.24023,0.65334,0.7373,0.72737,0.47315,1.27473,0.82649,1.33565,0.0011015,0.0011015,0.0011015
8,1831.6,1.29133,0.85082,1.23319,0.66565,0.70484,0.71585,0.47004,1.29817,0.86422,1.35347,0.00107675,0.00107675,0.00107675
9,2007.07,1.2841,0.84381,1.23177,0.71896,0.71964,0.73653,0.48441,1.26607,0.78715,1.33301,0.001052,0.001052,0.001052
10,2182.96,1.26989,0.81304,1.22258,0.70832,0.74256,0.75371,0.49424,1.26013,0.7762,1.32926,0.00102725,0.00102725,0.00102725
11,2372.89,1.2637,0.79872,1.22167,0.66614,0.71488,0.72614,0.48088,1.26303,0.83744,1.3271,0.0010025,0.0010025,0.0010025
12,2633.48,1.25485,0.78522,1.21899,0.71924,0.75068,0.78122,0.5279,1.24153,0.74825,1.31504,0.00097775,0.00097775,0.00097775
13,2892.07,1.25481,0.76697,1.21572,0.71286,0.72299,0.75292,0.50161,1.25244,0.77437,1.31864,0.000953,0.000953,0.000953
14,3151.5,1.24758,0.75723,1.20889,0.69199,0.7486,0.76197,0.51714,1.22868,0.73478,1.30748,0.00092825,0.00092825,0.00092825
15,3371.22,1.23984,0.75596,1.21191,0.74797,0.73163,0.77596,0.52591,1.23889,0.7504,1.31572,0.0009035,0.0009035,0.0009035
16,3543.29,1.2333,0.74723,1.19986,0.70788,0.764,0.78398,0.5298,1.22705,0.72194,1.30805,0.00087875,0.00087875,0.00087875
17,3715.99,1.23145,0.73024,1.20496,0.68621,0.76534,0.75432,0.51279,1.23146,0.74654,1.30979,0.000854,0.000854,0.000854
18,3965.15,1.22627,0.73439,1.20366,0.73802,0.71238,0.77056,0.51718,1.2436,0.7314,1.31364,0.00082925,0.00082925,0.00082925
19,4225.11,1.21789,0.71158,1.19323,0.73367,0.77968,0.78498,0.52823,1.21773,0.7034,1.3012,0.0008045,0.0008045,0.0008045
20,4484.98,1.21222,0.71081,1.19433,0.73692,0.79145,0.81032,0.54765,1.22929,0.70066,1.30718,0.00077975,0.00077975,0.00077975
21,4744.87,1.20787,0.69765,1.19811,0.75675,0.77547,0.81185,0.55054,1.22531,0.69367,1.29664,0.000755,0.000755,0.000755
22,5005.31,1.20435,0.68943,1.1842,0.76985,0.78998,0.82857,0.56702,1.22094,0.67419,1.30655,0.00073025,0.00073025,0.00073025
23,5265.66,1.19777,0.68893,1.18007,0.72629,0.80561,0.81694,0.55844,1.21685,0.67233,1.29654,0.0007055,0.0007055,0.0007055
24,5525.61,1.19382,0.68334,1.1865,0.75736,0.78862,0.81873,0.55632,1.21983,0.67526,1.29617,0.00068075,0.00068075,0.00068075
25,5786.07,1.19076,0.67253,1.17953,0.76379,0.81003,0.83294,0.57248,1.21744,0.66473,1.30141,0.000656,0.000656,0.000656
26,6046.49,1.18199,0.66257,1.17924,0.74557,0.78423,0.80405,0.54968,1.21603,0.67743,1.29616,0.00063125,0.00063125,0.00063125
27,6306.73,1.18495,0.66097,1.17422,0.762,0.82689,0.85061,0.58547,1.20175,0.66002,1.293,0.0006065,0.0006065,0.0006065
28,6567.07,1.17824,0.65181,1.17661,0.79105,0.80879,0.85528,0.59178,1.20254,0.64771,1.29111,0.00058175,0.00058175,0.00058175
29,6827.29,1.16588,0.64374,1.16279,0.7874,0.79375,0.83853,0.57868,1.2077,0.64673,1.2968,0.000557,0.000557,0.000557
30,7086.91,1.1672,0.62547,1.16256,0.79599,0.77397,0.83699,0.58087,1.19808,0.64444,1.288,0.00053225,0.00053225,0.00053225
31,7346.06,1.16021,0.62826,1.16657,0.7784,0.79042,0.82842,0.5735,1.20037,0.64784,1.2907,0.0005075,0.0005075,0.0005075
32,7605.26,1.1539,0.61317,1.15588,0.76441,0.81946,0.85,0.59026,1.19788,0.64843,1.29467,0.00048275,0.00048275,0.00048275
33,7864.77,1.15291,0.61413,1.15781,0.79369,0.8009,0.84535,0.58563,1.20128,0.64133,1.28598,0.000458,0.000458,0.000458
34,8059.36,1.13801,0.59979,1.14944,0.77226,0.82114,0.85284,0.5928,1.20175,0.63852,1.2925,0.00043325,0.00043325,0.00043325
35,8231.44,1.14065,0.59832,1.15311,0.78104,0.83508,0.86337,0.60427,1.19702,0.62042,1.29184,0.0004085,0.0004085,0.0004085
36,8417.61,1.13497,0.58909,1.15289,0.7893,0.81474,0.85259,0.59238,1.19942,0.63584,1.29468,0.00038375,0.00038375,0.00038375
37,8672.42,1.12621,0.57912,1.14177,0.79455,0.83836,0.86384,0.60631,1.19568,0.61855,1.29081,0.000359,0.000359,0.000359
