epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.0937,1.43811,0.78713,1.12872,0.82846,0.75993,0.85712,0.51229,1.38047,0.75646,1.1345,0.000664179,0.000664179,0.000664179
2,180.158,1.40267,0.75007,1.1068,0.82224,0.75645,0.84522,0.50012,1.37271,0.86568,1.13677,0.0013045,0.0013045,0.0013045
3,254.127,1.38604,0.74979,1.10576,0.85363,0.77247,0.87621,0.52728,1.36442,0.70676,1.1224,0.00191841,0.00191841,0.00191841
4,342.936,1.38894,0.74984,1.10844,0.86202,0.77424,0.87875,0.52237,1.36466,0.71042,1.12634,0.0018812,0.0018812,0.0018812
5,432.107,1.38252,0.73938,1.10467,0.85013,0.7789,0.87638,0.52701,1.34418,0.71792,1.12469,0.0018416,0.0018416,0.0018416
6,506.051,1.36806,0.73033,1.09723,0.8438,0.78517,0.87956,0.53038,1.33802,0.70449,1.11911,0.001802,0.001802,0.001802
7,594.658,1.36367,0.72013,1.10076,0.85876,0.78534,0.88923,0.53598,1.34095,0.73776,1.1321,0.0017624,0.0017624,0.0017624
8,684.134,1.36309,0.71262,1.09585,0.87562,0.79355,0.89459,0.54206,1.34549,0.67321,1.11696,0.0017228,0.0017228,0.0017228
9,757.578,1.35217,0.69991,1.09417,0.86111,0.78557,0.88874,0.53866,1.33086,0.70861,1.12334,0.0016832,0.0016832,0.0016832
10,846.604,1.35046,0.70248,1.09552,0.85738,0.79942,0.89287,0.54313,1.32644,0.67293,1.12626,0.0016436,0.0016436,0.0016436
11,934.894,1.34251,0.69362,1.09263,0.86564,0.78941,0.89565,0.5487,1.3317,0.65918,1.12465,0.001604,0.001604,0.001604
12,1000.42,1.33814,0.69165,1.0852,0.85314,0.80517,0.89525,0.54155,1.32616,0.67118,1.12621,0.0015644,0.0015644,0.0015644
13,1089.13,1.33412,0.68071,1.08708,0.8424,0.80286,0.88708,0.54496,1.31936,0.67016,1.11373,0.0015248,0.0015248,0.0015248
14,1177.87,1.32104,0.67283,1.08049,0.88052,0.79949,0.89939,0.55222,1.31794,0.65762,1.12146,0.0014852,0.0014852,0.0014852
15,1256.3,1.33118,0.67124,1.08198,0.86255,0.80897,0.89896,0.55012,1.32338,0.65475,1.11981,0.0014456,0.0014456,0.0014456
16,1339.5,1.32611,0.67243,1.08285,0.87916,0.8072,0.90598,0.5558,1.31827,0.64184,1.11597,0.001406,0.001406,0.001406
17,1428.55,1.31823,0.66151,1.07852,0.86414,0.8056,0.89981,0.55503,1.31091,0.64709,1.10798,0.0013664,0.0013664,0.0013664
18,1511.53,1.31309,0.65825,1.0751,0.8805,0.81865,0.90777,0.5609,1.31503,0.62421,1.11698,0.0013268,0.0013268,0.0013268
19,1591.63,1.30873,0.65831,1.0756,0.87704,0.8189,0.90581,0.56262,1.30183,0.62682,1.11961,0.0012872,0.0012872,0.0012872
20,1680.37,1.30436,0.65305,1.07408,0.8785,0.81381,0.90595,0.5585,1.3134,0.63833,1.11999,0.0012476,0.0012476,0.0012476
21,1767.04,1.30129,0.6476,1.06875,0.85537,0.82618,0.90292,0.55655,1.30745,0.63688,1.11758,0.001208,0.001208,0.001208
22,1843.19,1.30101,0.64165,1.07503,0.85242,0.82013,0.89882,0.55594,1.31572,0.63685,1.11688,0.0011684,0.0011684,0.0011684
23,1931.77,1.29645,0.64695,1.06796,0.87924,0.82007,0.91038,0.56446,1.30139,0.6157,1.11728,0.0011288,0.0011288,0.0011288
24,2020.35,1.2855,0.63084,1.06376,0.87815,0.82972,0.91213,0.56693,1.30071,0.61337,1.11232,0.0010892,0.0010892,0.0010892
25,2092.65,1.29266,0.63516,1.07221,0.88446,0.82344,0.91297,0.56912,1.29455,0.60991,1.11026,0.0010496,0.0010496,0.0010496
26,2181.62,1.28332,0.62586,1.06318,0.8709,0.82698,0.91093,0.56814,1.29697,0.61101,1.11406,0.00101,0.00101,0.00101
27,2270.49,1.28627,0.62489,1.06252,0.89034,0.8265,0.91482,0.56857,1.30342,0.60277,1.12384,0.0009704,0.0009704,0.0009704
28,2343.71,1.26789,0.6166,1.06321,0.86697,0.81942,0.90733,0.56163,1.30827,0.61594,1.11137,0.0009308,0.0009308,0.0009308
29,2432.55,1.28216,0.61641,1.06193,0.87744,0.82656,0.91192,0.56958,1.29494,0.608,1.11373,0.0008912,0.0008912,0.0008912
30,2521.68,1.27111,0.61057,1.06495,0.88624,0.83303,0.91598,0.57456,1.28688,0.60263,1.1111,0.0008516,0.0008516,0.0008516
31,2594.8,1.26653,0.6065,1.05791,0.87533,0.83534,0.91524,0.57267,1.28907,0.59671,1.109,0.000812,0.000812,0.000812
32,2684.22,1.26264,0.60363,1.05491,0.88373,0.82489,0.91553,0.57321,1.28933,0.59549,1.10902,0.0007724,0.0007724,0.0007724
33,2772.59,1.25853,0.60081,1.0604,0.87486,0.83583,0.91334,0.57304,1.29276,0.60039,1.10673,0.0007328,0.0007328,0.0007328
34,2845.44,1.25455,0.59979,1.05677,0.89324,0.82425,0.91405,0.57228,1.2902,0.5931,1.11622,0.0006932,0.0006932,0.0006932
35,2934.49,1.25113,0.59447,1.05276,0.88674,0.83808,0.9175,0.57807,1.28603,0.58542,1.10756,0.0006536,0.0006536,0.0006536
36,3023.65,1.24147,0.58581,1.05076,0.89211,0.82746,0.91496,0.57636,1.2868,0.586,1.112,0.000614,0.000614,0.000614
37,3096.56,1.24863,0.58788,1.05152,0.88187,0.83792,0.91674,0.57627,1.28961,0.58779,1.10842,0.0005744,0.0005744,0.0005744
38,3184.84,1.2426,0.58477,1.04775,0.87858,0.84049,0.91635,0.57533,1.29096,0.58237,1.11193,0.0005348,0.0005348,0.0005348
39,3273.83,1.23261,0.58158,1.04797,0.89207,0.83594,0.91836,0.57736,1.28614,0.58724,1.10515,0.0004952,0.0004952,0.0004952
40,3341.91,1.23567,0.5762,1.04408,0.89186,0.83411,0.91607,0.57842,1.28019,0.57939,1.10977,0.0004556,0.0004556,0.0004556
41,3430.59,1.22883,0.56238,1.05889,0.87239,0.83695,0.91402,0.57364,1.29702,0.58663,1.11683,0.000416,0.000416,0.000416
42,3519.18,1.22173,0.55617,1.05409,0.87358,0.83447,0.91706,0.57912,1.28395,0.57965,1.11218,0.0003764,0.0003764,0.0003764
43,3597.08,1.21663,0.55364,1.05562,0.88361,0.84065,0.92038,0.57907,1.28659,0.57756,1.1067,0.0003368,0.0003368,0.0003368
44,3680.25,1.20843,0.54509,1.04951,0.88636,0.83743,0.92022,0.58068,1.29029,0.57538,1.1119,0.0002972,0.0002972,0.0002972
45,3768.55,1.20401,0.54401,1.04632,0.89069,0.83856,0.92007,0.58306,1.28829,0.57554,1.1066,0.0002576,0.0002576,0.0002576
46,3851.21,1.19614,0.53763,1.04209,0.88439,0.84178,0.92064,0.5835,1.28351,0.57202,1.10844,0.000218,0.000218,0.000218
47,3929.81,1.19627,0.534,1.04293,0.8941,0.83534,0.92119,0.58227,1.28222,0.57137,1.10841,0.0001784,0.0001784,0.0001784
